"already has Tax Invoice Number","sudah memiliki Nomor Seri Faktur Pajak"
"API Response","Respon API"
"About","Tentang"
"Alamat Jalan (Address) is required","Alamat Jalan wajib diisi"
"An error occurred while creating Income Recipient","Terjadi kesalahan saat membuat Penerima Penghasilan"
"An error occurred while creating Signer","Terjadi kesalahan saat membuat Penandatangan"
"An error occurred while creating VAT Output Return","Terjadi kesalahan saat membuat SPT Masa PPN"
"Approved: {0}, Failed: {1}","Disetujui: {0}, Gagal: {1}"
"Are you sure you want to unlink this Tax Invoice Number?","Apakah Anda yakin ingin melepas Nomor Seri Faktur Pajak ini?"
"Are you sure you want to approve {0} documents?","Apakah Anda yakin ingin menyetujui {0} dokumen?"
"Barang Jasa Code not found in master data.","Kode Barang Jasa tidak ditemukan dalam master data."
"Branch's NITKU","NITKU Cabang"
"Bulk Approve","Setujui Massal"
"Bulk Delete via API","Hapus Massal via API"
"Bulk Reject","Tolak Massal"
"Call Pajak.io API","Panggil API Pajak.io"
"Cancel VAT Output","Batalkan PPN Keluaran"
"Certificate Number","Nomor Sertifikat"
"Company Address as per Tax ID","Alamat Perusahaan sesuai NPWP"
"Company Name as per Tax ID","Nama Perusahaan sesuai NPWP"
"Company's NITKU","NITKU Perusahaan"
"Complete Setup","Selesaikan Setup"
"CoreTax","CoreTax"
"CoreTax CountryRef","Ref Negara CoreTax"
"Coretax XML Exporter","Ekspor XML CoreTax"
"Create via Pajak.io API","Buat via API Pajak.io"
"Customer Email as per Tax ID","Email Pelanggan sesuai NPWP"
"Customer ID Number","Nomor Identitas Pelanggan"
"Customer ID Type","Tipe Identitas Pelanggan"
"Customer PKP","Pelanggan PKP"
"Customer Tax Code","Kode Pajak Pelanggan"
"Customer's NITKU","NITKU Pelanggan"
"Data Validation Error","Kesalahan Validasi Data"
"Delete VAT Output","Hapus PPN Keluaran"
"Download PDF","Unduh PDF"
"Error calling Pajak.io API: {0}","Gagal memanggil API Pajak.io: {0}"
"Export Status","Status Ekspor"
"Export to DJP Format","Ekspor ke Format DJP"
"Failed","Gagal"
"Generate SPT","Buat SPT"
"Get Purchase Invoice","Ambil Faktur Pembelian"
"In Process","Sedang Diproses"
"Invoice Received Date","Tanggal Terima Faktur"
"Luxury Goods Tax Rate","Tarif PPnBM"
"NIK","NIK"
"NPWP","NPWP"
"No Faktur","Nomor Faktur"
"Nomor Faktur Pajak","Nomor Seri Faktur Pajak (NSFP)"
"Pajak.io API Key","Kunci API Pajak.io"
"Pending Upload","Menunggu Unggah"
"PPN","PPN"
"Sales Taxes and Charges Template","Template Pajak dan Biaya Penjualan"
"Succeed","Berhasil"
"Sync from Pajak.io","Sinkronisasi dari Pajak.io"
"System Health","Kesehatan Sistem"
"Tanggal Faktur Pajak","Tanggal Faktur Pajak"
"Tax Additional Info","Info Tambahan Pajak"
"Tax Invoice Number","Nomor Seri Faktur Pajak"
"Transaction Code","Kode Transaksi"
"Upload to DJP","Unggah ke DJP"
"VAT Input","PPN Masukan"
"VAT Output","PPN Keluaran"
"VAT Output Return","SPT Masa PPN"
"Withholding Tax","Pajak Penghasilan (PPh)"
"✓ Verified","✓ Terverifikasi"
"✗ Verification Failed","✗ Verifikasi Gagal"
"Indonesian Localization","Lokalisasi Indonesia"
"Pajak.io Settings","Pengaturan Pajak.io"
"Tax Invoice","Faktur Pajak"
"Tax Document","Dokumen Pajak"
